Team,Wins,Seed,PPG,AST,AST/TO Ratio,BKPG,FG%,OPP FG,OPP FGA,OPP FG%,FTA,FT%,Fouls,REB,RPG,OPP REB,OPP RPG,REB MAR,OPP PPG,SCR MAR,3FGA,3FG%,Opp 3FGA,Opp 3FG,Opp 3FG Pct,Opp TO,TO,Turnover Ratio,W/L Pct,ORebs,ORPG,DRebs,DRPG
Utah (Pac-12),1,3,77.6,532,1.27,4.3,48.9,873,2112,41.3,734,71.4,526,1270,37.4,1118,32.9,4.5,69.1,8.5,713,36.3,689,253,36.7,355,418,-1.9,76.5,328,9.65,942,27.71
Hawaii (Big West),1,13,77.6,504,1.19,3.8,46.2,719,1806,39.8,833,68.1,648,1200,37.5,1050,32.8,4.7,66.5,11.1,704,32.7,632,199,31.5,472,423,1.5,84.4,344,10.75,856,26.75
Saint Joseph's (Atlantic 10),1,8,77.6,514,1.49,3.4,45.4,875,2110,41.5,769,71.3,545,1312,38.6,1212,35.6,2.9,69.9,7.7,728,32.7,872,270,31,389,344,1.3,79.4,345,10.15,967,28.44
Buffalo (MAC),0,14,77.6,433,0.93,3.6,43.8,882,2044,43.2,845,71,723,1330,39.1,1229,36.1,3,75.1,2.4,750,33.7,740,251,33.9,450,465,-0.4,58.8,417,12.26,913,26.85
VCU (Atlantic 10),1,10,77.2,488,1.25,3.8,45,818,1859,44,684,69,665,1270,37.4,1179,34.7,2.7,67.3,9.9,694,35.6,556,187,33.6,525,389,4,70.6,425,12.5,845,24.85
Baylor (Big 12),0,5,77.2,587,1.38,4,46.7,797,1794,44.4,737,72.7,636,1234,37.4,972,29.5,7.9,69.2,7.9,556,36.7,622,228,36.7,452,425,0.8,66.7,453,13.73,781,23.67
Villanova (Big East),6,2,77,549,1.45,3.4,46.7,764,1910,40,664,77.7,596,1211,35.6,1147,33.7,1.9,63.7,13.3,847,34.4,716,240,33.5,471,378,2.7,85.3,315,9.26,896,26.35
Stony Brook (America East),0,13,76.8,531,1.45,4.6,47.6,737,1824,40.4,618,67.2,509,1266,39.6,1014,31.7,7.9,63.4,13.4,584,37.2,636,208,32.7,409,365,1.4,81.3,401,12.53,865,27.03
Weber St. (Big Sky),0,15,76.7,472,1.05,3.5,48.4,850,2054,41.4,810,67.7,598,1275,37.5,1127,33.1,4.4,66.9,9.9,768,37.4,565,195,34.5,373,451,-2.3,76.5,291,8.56,984,28.94
South Dakota St. (Summit League),0,12,76.6,364,0.96,2.4,45.3,745,1794,41.5,744,73.8,636,1212,37.9,1047,32.7,5.2,68.1,8.5,669,35.7,587,194,33,390,381,0.3,78.1,357,11.16,855,26.72
Maryland (Big Ten),2,5,76.1,465,1.09,5.4,48.8,798,1956,40.8,666,76,548,1171,35.5,1058,32.1,3.4,66.3,9.8,673,37.4,693,223,32.2,370,425,-1.7,75.8,304,9.21,867,26.27
Pittsburgh (ACC),0,10,76,541,1.45,3.7,46,781,1791,43.6,679,75.4,564,1222,38.2,985,30.8,7.4,67.9,8.1,578,34.8,612,218,35.6,370,374,-0.1,65.6,410,12.81,812,25.38
Colorado (Pac-12),0,8,76,454,1.03,5,42.5,829,1980,41.9,779,73.8,616,1400,42.4,1106,33.5,8.9,70.7,5.3,637,39.2,580,206,35.5,365,442,-2.3,66.7,437,13.24,963,29.18
Austin Peay (OVC),0,16,76,473,0.97,2.9,46.3,955,2088,45.7,899,67,610,1289,36.8,1195,34.1,2.7,75.9,0.1,630,34.8,824,296,35.9,470,490,-0.6,51.4,407,11.63,882,25.2
Texas A&M (SEC),2,3,75.9,574,1.43,3.8,44.9,783,1930,40.6,755,67.3,615,1323,38.9,1191,35,3.9,65.5,10.4,745,35,763,251,32.9,488,401,2.6,76.5,436,12.82,887,26.09
Chattanooga (SoCon),0,12,75.8,495,1.17,4.8,45.6,829,1910,43.4,793,73.3,577,1218,35.8,1101,32.4,3.4,66.6,9.2,712,36.4,694,225,32.4,484,422,1.8,85.3,372,10.94,846,24.88
UNC Asheville (Big South),0,15,75.6,411,0.96,3.3,45.8,802,1897,42.3,795,69.4,575,1247,37.8,1172,35.5,2.3,67.5,8.2,586,32.4,677,192,28.4,519,430,2.7,66.7,384,11.64,863,26.15
Miami (FL) (ACC),2,3,75.6,410,1.2,3.6,47.7,790,1839,43,702,75.1,530,1112,34.8,1038,32.4,2.3,66.8,8.8,599,36.6,548,184,33.6,372,341,1,78.1,310,9.69,802,25.06
Fresno St. (Mountain West),0,14,75.3,458,1.26,4,43.4,785,1879,41.8,793,69.2,741,1278,37.6,1237,36.4,1.2,70.4,4.9,620,34.2,743,245,33,510,364,4.3,73.5,404,11.88,874,25.71
Yale (Ivy League),1,12,75.2,425,1.14,4.6,47.1,625,1536,40.7,657,66.4,496,1131,40.4,821,29.3,11.1,63.1,12,484,37.4,525,166,31.6,350,374,-0.9,78.6,379,13.54,752,26.86
